,start,end,caption,translated
0,00:00:00.000,00:00:13.847,A man is walking down the street with a yellow,Мужчина идет по улице с желтым.
1,00:00:13.847,00:00:20.729,A man in a suit and tie sitting in a,"Человек в костюме и галстуке, сидящий в"
2,00:00:20.729,00:00:25.234,A man and a woman are sitting on a couch,Мужчина и женщина сидят на диване.
3,00:00:25.234,00:00:29.446,A man is lying on a bed with a remote control.,Человек лежит на кровати с пультом управления.
4,00:00:29.446,00:00:33.992,A bird is flying over a fence in a building,Птица пролетает над забором в здании
5,00:00:33.992,00:00:37.412,A man is sitting at a table with a cup of coffee,Мужчина сидит за столом с чашкой кофе.
6,00:00:37.412,00:00:39.539,A woman is sitting on a couch with a book.,Женщина сидит на диване с книгой.
7,00:00:39.539,00:00:47.464,A large white sink is sitting under a large window,Большая белая раковина сидит под большим окном
8,00:00:47.464,00:00:53.053,A woman is walking down the street with her purse,Женщина идет по улице со своей сумочкой.
9,00:00:53.053,00:00:59.309,People are walking down the streets.,Люди ходят по улицам.
10,00:00:59.309,00:01:03.438,A building with a graffiti on it is called a,Здание с граффити на нем называется
11,00:01:03.438,00:01:05.816,A man is playing a video game.,Мужчина играет в видео игру.
12,00:01:05.816,00:01:08.235,A man is sitting on a couch with a remote,Человек сидит на диване с пультом.
13,00:01:08.235,00:01:12.948,A man and a woman are walking down the street.,Мужчина и женщина идут по улице.
14,00:01:12.948,00:01:18.287,A train is on the tracks near a body of water,Поезд на рельсах рядом с водоемом.
15,00:01:18.287,00:01:23.625,A man with a beard and a hat and a,"Человек с бородой, шляпой и шляпой."
16,00:01:23.625,00:01:25.711,A man is lying on a bed with a pillow.,Мужчина лежит на кровати с подушкой.
17,00:01:25.711,00:01:28.755,A person is cutting a piece of wood with a,Человек резает кусок дерева
18,00:01:28.755,00:01:30.841,A man in a black shirt and a black hat,Человек в черной рубашке и черной шляпе
19,00:01:30.841,00:01:35.804,A dog is standing in the street near a truck,На улице рядом с грузовиком стоит собака.
20,00:01:35.804,00:01:36.471,"""I am a prisoner of the state"" by","""Я узник государства"""
21,00:01:36.471,00:01:37.931,A woman is looking at the camera while on the phone.,"Женщина смотрит в камеру, когда говорит по телефону."
22,00:01:37.931,00:01:46.273,A pile of logs is piled up on top of a building,Куча бревен забита на крыше здания.
23,00:01:46.273,00:01:49.568,A fire hydrant is lit up in the middle of,Пожарный гидрант зажигается посреди
24,00:01:49.568,00:01:54.614,"A large crane is flying over a city, a","Большой кран пролетает над городом,"
25,00:01:54.614,00:01:59.453,A highway with a lot of traffic and a train,Автомагистраль с большим количеством пробок и поездом
26,00:01:59.453,00:02:02.998,A large building with a sky background is a building,Большое здание с небом - это здание.
27,00:02:02.998,00:02:06.501,A man and a woman are sitting on a bench.,Мужчина и женщина сидят на скамейке.
28,00:02:06.501,00:02:07.836,A man in a black shirt and a black tie,Человек в черной рубашке и черном галстуке
29,00:02:07.836,00:02:11.048,A man is walking down the train tracks with a suitcase.,Мужчина идет по тропам с чемоданом.
30,00:02:11.048,00:02:14.176,A man in a suit and tie is standing in front,Человек в костюме и галстуке стоит перед нами.
31,00:02:14.176,00:02:17.929,A city with a lot of buildings and a sky background,Город с множеством зданий и небом на заднем плане
32,00:02:17.929,00:02:21.183,A man sitting on a couch with a book is,"Человек, сидящий на диване с книгой"
33,00:02:21.183,00:02:27.856,A man is standing in front of a parking meter,Человек стоит перед парковочным счетчиком
34,00:02:27.856,00:02:29.608,A boat in the water can be seen from a window.,Лодку в воде можно увидеть из окна.
35,00:02:29.608,00:02:31.193,A view from a window of a train engine is,Вид из окна двигателя поезда:
36,00:02:31.193,00:02:33.695,A man is sitting at a table with a cup of coffee,Мужчина сидит за столом с чашкой кофе.
37,00:02:33.695,00:02:38.992,A man in a suit and tie is looking at something.,Человек в костюме и галстуке смотрит на что-то.
38,00:02:38.992,00:02:41.453,A man is lying on a bed with a hat on.,Мужчина лежит на кровати с шляпой.
39,00:02:41.453,00:02:50.962,A train is passing by a blurry photo of a,Поезд проходит мимо размытой фотографии
